F_RING,YEAR,EXP.INC,GROUP,CS,CS_sc,brood_id,egg_index,HATCHED
FO75A_2022,2022,Control,CONEXP,6,-0.9141479326644292,FO75A_2022_2022_FO75A_45,3,1
FO75A_2022,2022,Control,CONEXP,6,-0.9141479326644292,FO75A_2022_2022_FO75A_45,4,1
FO75A_2022,2022,Control,CONEXP,6,-0.9141479326644292,FO75A_2022_2022_FO75A_45,5,1
FO75A_2022,2022,Control,CONEXP,6,-0.9141479326644292,FO75A_2022_2022_FO75A_45,6,0
DC54927,2022,Heated,EXPEXP,6,-0.9141479326644292,DC54927_2022_FO76_55,1,1
DC54927,2022,Heated,EXPEXP,6,-0.9141479326644292,DC54927_2022_FO76_55,2,1
DC54927,2022,Heated,EXPEXP,6,-0.9141479326644292,DC54927_2022_FO76_55,3,1
DC54927,2022,Heated,EXPEXP,6,-0.9141479326644292,DC54927_2022_FO76_55,4,1
DC54927,2022,Heated,EXPEXP,6,-0.9141479326644292,DC54927_2022_FO76_55,5,1
DC54927,2022,Heated,EXPEXP,6,-0.9141479326644292,DC54927_2022_FO76_55,6,1
DC53170,2022,Heated,EXPEXP,6,-0.9141479326644292,DC53170_2022_FO78A_45,1,1
DC53170,2022,Heated,EXPEXP,6,-0.9141479326644292,DC53170_2022_FO78A_45,2,1
DC53170,2022,Heated,EXPEXP,6,-0.9141479326644292,DC53170_2022_FO78A_45,3,1
DC53170,2022,Heated,EXPEXP,6,-0.9141479326644292,DC53170_2022_FO78A_45,4,1
DC53170,2022,Heated,EXPEXP,6,-0.9141479326644292,DC53170_2022_FO78A_45,5,1
DC53170,2022,Heated,EXPEXP,6,-0.9141479326644292,DC53170_2022_FO78A_45,6,1
DC54917,2022,Heated,EXPEXP,6,-0.9141479326644292,DC54917_2022_KT10A_49,1,1
DC54917,2022,Heated,EXPEXP,6,-0.9141479326644292,DC54917_2022_KT10A_49,2,1
DC54917,2022,Heated,EXPEXP,6,-0.9141479326644292,DC54917_2022_KT10A_49,3,1
DC54917,2022,Heated,EXPEXP,6,-0.9141479326644292,DC54917_2022_KT10A_49,4,1
DC54917,2022,Heated,EXPEXP,6,-0.9141479326644292,DC54917_2022_KT10A_49,5,1
DC54917,2022,Heated,EXPEXP,6,-0.9141479326644292,DC54917_2022_KT10A_49,6,1
DD81925,2022,Control,CONCON,6,-0.9141479326644292,DD81925_2022_KT5A_51,1,1
DD81925,2022,Control,CONCON,6,-0.9141479326644292,DD81925_2022_KT5A_51,2,1
DD81925,2022,Control,CONCON,6,-0.9141479326644292,DD81925_2022_KT5A_51,3,1
DD81925,2022,Control,CONCON,6,-0.9141479326644292,DD81925_2022_KT5A_51,4,1
DD81925,2022,Control,CONCON,6,-0.9141479326644292,DD81925_2022_KT5A_51,5,1
DD81925,2022,Control,CONCON,6,-0.9141479326644292,DD81925_2022_KT5A_51,6,0
DC54207,2022,Heated,EXPEXP,8,2.2764075970271063,DC54207_2022_OJ143A_48,1,1
DC54207,2022,Heated,EXPEXP,8,2.2764075970271063,DC54207_2022_OJ143A_48,2,1
DC54207,2022,Heated,EXPEXP,8,2.2764075970271063,DC54207_2022_OJ143A_48,3,1
DC54207,2022,Heated,EXPEXP,8,2.2764075970271063,DC54207_2022_OJ143A_48,4,1
DC54207,2022,Heated,EXPEXP,8,2.2764075970271063,DC54207_2022_OJ143A_48,5,1
DC54207,2022,Heated,EXPEXP,8,2.2764075970271063,DC54207_2022_OJ143A_48,6,1
DC54207,2022,Heated,EXPEXP,8,2.2764075970271063,DC54207_2022_OJ143A_48,7,1
DC54207,2022,Heated,EXPEXP,8,2.2764075970271063,DC54207_2022_OJ143A_48,8,0
DC54924,2022,Control,CONCON,7,0.6811298321813386,DC54924_2022_OJ154B_49,1,1
DC54924,2022,Control,CONCON,7,0.6811298321813386,DC54924_2022_OJ154B_49,2,1
DC54924,2022,Control,CONCON,7,0.6811298321813386,DC54924_2022_OJ154B_49,3,1
DC54924,2022,Control,CONCON,7,0.6811298321813386,DC54924_2022_OJ154B_49,4,1
DC54924,2022,Control,CONCON,7,0.6811298321813386,DC54924_2022_OJ154B_49,5,1
DC54924,2022,Control,CONCON,7,0.6811298321813386,DC54924_2022_OJ154B_49,6,1
DC54924,2022,Control,CONCON,7,0.6811298321813386,DC54924_2022_OJ154B_49,7,1
DD84402,2022,Control,CONEXP,6,-0.9141479326644292,DD84402_2022_OJ155B_49,1,1
DD84402,2022,Control,CONEXP,6,-0.9141479326644292,DD84402_2022_OJ155B_49,2,1
DD84402,2022,Control,CONEXP,6,-0.9141479326644292,DD84402_2022_OJ155B_49,3,1
DD84402,2022,Control,CONEXP,6,-0.9141479326644292,DD84402_2022_OJ155B_49,4,0
