response,response_label,model_name,selected_model,term,estimate,std_error,statistic,p_value
D12_MASS,Day-12 body mass,gaussian_mean,TRUE,nestling_temperature_sc,-0.20121716888078456,0.11771360966902226,-1.7093789702528954,0.087380773784386
D12_MASS,Day-12 body mass,gaussian_mean,TRUE,SEXM,0.14306275450930933,0.07301333507593881,1.9594058312843041,0.05006527830802786
D12_MASS,Day-12 body mass,gaussian_mean,TRUE,BS_sc,-0.0028436794300945277,0.10674066705434529,-0.026641012357986427,0.9787460617260351
D12_MASS,Day-12 body mass,gaussian_scale,FALSE,(Intercept),13.885909873158147,0.20152959172509996,68.90258524464969,0
D12_MASS,Day-12 body mass,gaussian_scale,FALSE,EXP.INCHeated,-0.23699906435589901,0.22397246139698807,-1.0581616278968398,0.2899817619235094
D12_MASS,Day-12 body mass,gaussian_scale,FALSE,incubation_temperature_sc,-0.24737038091384214,0.12345163482596502,-2.003783759223364,0.04509322929778712
D12_MASS,Day-12 body mass,gaussian_scale,FALSE,EXP.NESTHeated,0.07556326967868182,0.2237140890842306,0.33776714729053786,0.7355386690091441
D12_MASS,Day-12 body mass,gaussian_scale,FALSE,nestling_temperature_sc,-0.2011817417077503,0.11773883616799345,-1.7087118257284104,0.08750434248696926
D12_MASS,Day-12 body mass,gaussian_scale,FALSE,SEXM,0.14332500994113048,0.07301750096824093,1.962885719732724,0.04965945444757927
D12_MASS,Day-12 body mass,gaussian_scale,FALSE,BS_sc,-0.002811004626191263,0.10676519475992141,-0.026328848390266658,0.9789950451950732
D12_MASS,Day-12 body mass,student_mean,FALSE,(Intercept),1.213670138966679,NA,NA,NA
D12_MASS,Day-12 body mass,student_mean,FALSE,EXP.INCHeated,-0.147135804900877,NA,NA,NA
D12_MASS,Day-12 body mass,student_mean,FALSE,incubation_temperature_sc,0.2616994319301201,NA,NA,NA
D12_MASS,Day-12 body mass,student_mean,FALSE,EXP.NESTHeated,0.19306749283067498,NA,NA,NA
D12_MASS,Day-12 body mass,student_mean,FALSE,nestling_temperature_sc,-0.31877372739758914,NA,NA,NA
D12_MASS,Day-12 body mass,student_mean,FALSE,SEXM,0.12541508754656464,NA,NA,NA
D12_MASS,Day-12 body mass,student_mean,FALSE,BS_sc,-0.10978083469409824,NA,NA,NA
D12_MASS,Day-12 body mass,student_scale,FALSE,(Intercept),1.1995747329630406,NA,NA,NA
D12_MASS,Day-12 body mass,student_scale,FALSE,EXP.INCHeated,-0.01834026407799969,0.22291778507862087,-0.08227366906382666,0.9344290924621945
D12_MASS,Day-12 body mass,student_scale,FALSE,incubation_temperature_sc,0.5552556058795737,0.28564603606297884,1.9438589575146483,0.051912461737297404
D12_MASS,Day-12 body mass,student_scale,FALSE,EXP.NESTHeated,0.26913360068215253,0.19638123121058293,1.3704649829471534,0.17054179907750547
D12_MASS,Day-12 body mass,student_scale,FALSE,nestling_temperature_sc,0.0535873693596381,0.26293349737477,0.20380579079757877,0.8385052674190063
D12_MASS,Day-12 body mass,student_scale,FALSE,SEXM,0.1489858361878679,0.059617479413476816,2.499029439916055,0.012453396495776627
D12_MASS,Day-12 body mass,student_scale,FALSE,BS_sc,0.05067563425355243,0.05745017181589922,0.8820797684634262,0.3777336720553927
Early.g,Early growth,gaussian_mean,TRUE,(Intercept),1.5621691208370798,0.034688836714648195,45.03377076860627,0
Early.g,Early growth,gaussian_mean,TRUE,EXP.INCHeated,-0.10072496753233842,0.03906214806076829,-2.5785824009381764,0.009920663578797726
Early.g,Early growth,gaussian_mean,TRUE,incubation_temperature_sc,-0.06599389053409745,0.0204302452442965,-3.23020549900256,0.0012370127130353706
